customer_id,Total_Spending,num_of_orders,order_created_date,Return_Count,customer_age,customer_gender_encoded,Recency,Frequency,Average_Order_Value,Customer_segment,Customer_segment_label
1,159.98999977111816,1,2022-07-18 12:55:00.000000,1,62,1,550,0.08333333333333333,159.98999977111816,2,High Value Customers
2,22.0,1,2022-02-20 10:34:00.000000,1,65,0,698,0.08333333333333333,22.0,0,Low Value Customers
3,123.47000122070312,1,2023-04-02 09:13:00.000000,1,16,0,292,0.08333333333333333,123.47000122070312,0,Low Value Customers
4,148.0,1,2022-10-18 09:31:00.000000,1,12,1,458,0.08333333333333333,148.0,2,High Value Customers
5,65.64999961853027,1,2022-10-20 10:03:00.000000,1,52,1,456,0.08333333333333333,65.64999961853027,2,High Value Customers
6,144.82000350952148,1,2022-04-08 04:38:00.000000,1,65,0,651,0.08333333333333333,144.82000350952148,0,Low Value Customers
7,84.20999908447266,1,2022-02-26 16:52:00.000000,1,32,0,692,0.08333333333333333,84.20999908447266,0,Low Value Customers
8,80.68999862670898,1,2021-07-15 17:15:00.000000,1,70,0,918,0.08333333333333333,80.68999862670898,0,Low Value Customers
9,71.95000076293945,1,2023-11-02 17:44:00.000000,1,39,0,78,0.08333333333333333,71.95000076293945,0,Low Value Customers
11,132.0,1,2024-01-11 09:06:00.000000,1,41,1,8,0.08333333333333333,132.0,2,High Value Customers
12,101.9900016784668,1,2023-04-06 15:13:00.000000,1,40,1,288,0.08333333333333333,101.9900016784668,2,High Value Customers
13,100.0,1,2024-01-16 12:54:23.787985,1,54,1,3,0.08333333333333333,100.0,2,High Value Customers
15,33.9900016784668,1,2022-06-16 08:38:00.000000,1,30,0,582,0.08333333333333333,33.9900016784668,0,Low Value Customers
16,16.790000915527344,1,2023-06-02 18:57:00.000000,1,67,0,231,0.08333333333333333,16.790000915527344,0,Low Value Customers
17,173.95999908447266,1,2019-06-15 12:17:00.000000,1,29,0,1679,0.08333333333333333,173.95999908447266,0,Low Value Customers
18,25.0,1,2023-07-04 07:59:00.000000,1,17,0,199,0.08333333333333333,25.0,0,Low Value Customers
19,59.950000762939446,1,2022-07-26 18:56:00.000000,1,21,1,542,0.08333333333333333,59.950000762939446,2,High Value Customers
20,53.96999931335449,1,2023-08-09 10:23:00.000000,1,13,0,163,0.08333333333333333,53.96999931335449,0,Low Value Customers
22,43.0,1,2024-01-15 15:14:00.000000,1,28,0,4,0.08333333333333333,43.0,0,Low Value Customers
24,39.9900016784668,1,2023-11-19 04:30:00.000000,1,69,1,61,0.08333333333333333,39.9900016784668,2,High Value Customers
25,25.0,1,2023-07-14 08:12:00.000000,1,56,0,189,0.08333333333333333,25.0,0,Low Value Customers
26,29.950000762939453,1,2024-01-17 09:10:00.000000,1,35,1,2,0.08333333333333333,29.950000762939453,2,High Value Customers
27,60.0,1,2022-02-08 11:19:00.000000,1,22,0,710,0.08333333333333333,60.0,0,Low Value Customers
29,44.0,1,2022-08-06 18:29:00.000000,1,34,1,531,0.08333333333333333,44.0,2,High Value Customers
30,191.459997177124,1,2023-05-30 12:53:00.000000,1,16,1,234,0.08333333333333333,191.459997177124,1,Medium Value Customers
32,89.5,1,2021-11-27 16:37:00.000000,1,70,1,783,0.08333333333333333,89.5,2,High Value Customers
33,49.9900016784668,1,2021-01-26 01:57:00.000000,1,30,0,1088,0.08333333333333333,49.9900016784668,0,Low Value Customers
34,36.0,1,2023-06-08 11:36:00.000000,1,61,1,225,0.08333333333333333,36.0,2,High Value Customers
35,99.98999786376952,1,2023-12-27 04:36:00.000000,1,60,1,23,0.08333333333333333,99.98999786376952,2,High Value Customers
37,14.239999771118164,1,2023-03-05 07:45:00.000000,1,34,1,320,0.08333333333333333,14.239999771118164,2,High Value Customers
38,11.899999618530272,1,2023-12-02 06:33:00.000000,1,35,1,48,0.08333333333333333,11.899999618530272,2,High Value Customers
39,18.0,1,2022-08-26 00:12:00.000000,1,47,0,511,0.08333333333333333,18.0,0,Low Value Customers
40,33.9900016784668,1,2021-12-05 00:09:00.000000,1,44,0,775,0.08333333333333333,33.9900016784668,0,Low Value Customers
41,204.0,1,2023-11-15 17:34:00.000000,1,39,0,65,0.08333333333333333,204.0,1,Medium Value Customers
42,7.869999885559082,1,2023-10-25 16:32:00.000000,1,31,1,86,0.08333333333333333,7.869999885559082,2,High Value Customers
43,40.0,1,2023-07-03 02:27:00.000000,1,31,1,200,0.08333333333333333,40.0,2,High Value Customers
44,16.989999771118164,1,2023-01-20 02:12:00.000000,1,56,1,364,0.08333333333333333,16.989999771118164,2,High Value Customers
45,49.9900016784668,1,2024-01-15 11:22:24.883119,1,13,1,4,0.08333333333333333,49.9900016784668,2,High Value Customers
46,36.0,1,2021-12-06 09:11:00.000000,1,40,1,774,0.08333333333333333,36.0,2,High Value Customers
48,58.0,1,2023-07-27 11:27:00.000000,1,56,0,176,0.08333333333333333,58.0,0,Low Value Customers
49,189.64999771118164,1,2023-01-08 04:00:00.000000,1,31,0,376,0.08333333333333333,189.64999771118164,1,Medium Value Customers
50,14.0,1,2022-05-06 11:10:00.000000,1,51,0,623,0.08333333333333333,14.0,0,Low Value Customers
51,190.0,1,2022-09-06 07:36:00.000000,1,46,0,500,0.08333333333333333,190.0,1,Medium Value Customers
52,25.0,1,2022-10-19 09:39:00.000000,1,70,0,457,0.08333333333333333,25.0,0,Low Value Customers
